Research name,Publication Title,Author List,Conf/Journal Details,Year,ISBN,ISSN,Item Type,Event Type,Refereed,Date of Award,Supervisor(s),Uncontrolled Keywords,Subject,DCU Faculties and Centres,Use License,ID Code,Deposited On,Published in,Publisher,Official URL,Copyright Information,Funders,Additional Information,Tweets,Mendeley Readers
Yvette Graham,Translating pro-drop languages with reconstruction models.,"Wang, Longyue, Tu, Zhaopeng, Shi, Shuming, Zhang, Tong, Graham, Yvette, Liu, Qun","32nd AAAI Conference on Artificial Intelligence (AAAI 2018), 2 - 7 Feb 2018, New Orleans, LA, USA",2018,978-1-57735-800-8,,Conference or Workshop Item (Paper),Conference,Yes,,,Neural Machine Translation; Pro-Drop Language; Dropped Pronoun; Reconstruction Model; Dialogue,Computer Science > Artificial intelligence. Computer Science > Computational linguistics. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23122,03 Apr 2019 09:33 by  Yvette Graham. Last Modified 06 Mar 2020 09:47,Proceedings of the 32nd AAAI Conference on Artificial Intelligence (AAAI 2018)..  Association for the Advancement of Artificial Intelligence. ISBN 978-1-57735-800-8,Association for the Advancement of Artificial Intelligence,https://www.aaai.org/ocs/index.php/AAAI/AAAI18/paper/viewFile/16187/16026,"© 2018, Association for the Advancement of Artificial Intelligence","Science Foundation Ireland,  SFI Research Centres Programme (Grant 13/RC/2106) and is co-funded under the European Regional Development Fund",,,
Yvette Graham,Translating pro-drop languages with reconstruction models.,"Wang, Longyue, Tu, Zhaopeng, Shi, Shuming, Zhang, Tong, Graham, Yvette, Liu, Qun","Thirty-Second AAAI Conference on Artificial Intelligence (AAAI-18), 2–7 Feb 2018, New Orleans, LA, USA",2018,978-1-57735-800-8,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Machine translating,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23375,28 May 2019 15:51 by  Thomas Murtagh. Last Modified 12 Aug 2020 17:26,"Thirty-Second AAAI Conference on Artificial Intelligence (AAAI-18), Proceedings..  Association for the Advancement of Artificial Intelligence (AAAI). ISBN 978-1-57735-800-8",Association for the Advancement of Artificial Intelligence (AAAI),https://aaai.org/ocs/index.php/AAAI/AAAI18/paper/view/16187/16026,"© 2018, Association for the Advancement of Artificial
Intelligence",ADAPT Centre for Digital Content Technology is funded under the SFI Research Centres Programme (Grant 13/RC/2106) and is co-funded under the European Regional Development Fund.,,,
Yvette Graham,Is all that glitters in MT quality estimation really gold standard?,"Graham, Yvette, Baldwin, Timothy, Dowling, Meghan, Eskevich, Maria, Lynn, Teresa, Tounsi, Lamia","26th International Conference on Computational Linguistics, 11-17 Dec 2016, Osaka, Japan",2016,978-4-87974-702-0,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Machine translating,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,,23608,31 Jul 2019 11:31 by  Thomas Murtagh. Last Modified 12 Aug 2020 17:26,"Matsumoto, Yuji and Prasad, Rashmi, (eds.)Proceedings of COLING 2016, the 26th International Conference on Computational Linguistics: Technical Papers..  Association for Computational Linguistics (ACL). ISBN 978-4-87974-702-0",Association for Computational Linguistics (ACL),https://www.aclweb.org/anthology/C16-1,© 2016 ACL. Creative Commons 4.0,"European Union Horizon 2020 research and innovation programme under grant agreement 645452 (QT21), ADAPT Centre for Digital Content Technology (www. adaptcentre.ie ) at Dublin City University funded under the SFI Research Centres Programme (Grant 13/RC/2106) co-funded under the European Regional Development Fund.",,,
Cathal Gurrin,Guest editorial.,"Hopfgartner, Frank, Gurrin, Cathal, Joho, Hideo","Online Information Review, 44 (2). pp. 477-481",2020,,1468-4527,Article (Published),,No,,,lifelogging; self-tracking; quantified self,Computer Science > Image processing. Computer Science > Lifelog. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,,24670,29 Jun 2020 16:29 by  Cathal Gurrin. Last Modified 29 Jun 2020 16:29,,Emerald,http://dx.doi.org/10.1108/OIR-04-2020-398,"© 2020, Emerald",,,,
Cathal Gurrin,Temporal saliency adaptation in egocentric videos.,"Panagiotis, Linardos, Mohedano, Eva, Cherto, Monica, Gurrin, Cathal, Giró-i-Nieto, Xavier","The Third International Workshop on Egocentric Perception, Interaction and Computing (EPIC@ECCV18), 9 Sept 2018, Munich, Germany.",2018,,,Conference or Workshop Item (Poster),Workshop,Yes,,,,Computer Science > Artificial intelligence. Computer Science > Digital video. Computer Science > Lifelog. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Electronic Engineering. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22679,19 Sep 2018 13:02 by  Eva Mohedano Robles. Last Modified 22 Oct 2018 10:48,,,,© The Authors,SFI/12/RC/2289,,,
Cathal Gurrin,"LoggerMan, a software to capture, visualize and preserve computer activities as a digital personal archive.","Hinbarji, Zaher, Albatal, Rami, O'Connor, Noel E., Gurrin, Cathal","Personal Digital Archiving Conference 2016, 12-14 May 2016, University of Michigan Library, Michigan, USA.",2016,,,Conference or Workshop Item (Poster),Conference,Yes,,,,Computer Science > Lifelog. Computer Science > Computer software. Computer Science > Visualization. Computer Science > Information storage and retrieval systems. ,Research Initiatives and Centres > INSIGHT Centre for Data Analytics. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,21254,01 Jul 2016 08:30 by  Zaher Hinbarji. Last Modified 19 Oct 2018 08:53,,,,,,,,
Cathal Gurrin,"Who created this video clip, amateur or professional?","Guo, Jinlin, Gurrin, Cathal, Lao, Songyang","International Conference on Multimedia Retrieval, 16-19 Apr 2013, Dallas, TX..",2013,,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Machine learning. Computer Science > Information retrieval. Computer Science > Algorithms. Computer Science > Digital video. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Electronic Engineering. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,17847,18 Apr 2013 13:33 by  Jinlin Guo. Last Modified 27 Sep 2019 12:01,Proceedings of ICMR 2013..,,,,,,,
Cathal Gurrin,TRECVid 2010 experiments at Dublin City University.,"Foley, Colum, Guo, Jinlin, Scott, David, Ferguson, Paul, Gurrin, Cathal, Smeaton, Alan F.","TRECVid 2010, 15-17 Nov 2010, Gaithersburg, Maryland.",2010,,,Conference or Workshop Item (Speech),Workshop,Yes,,,information retrieval; coarse-to-fine search,Computer Science > Machine learning. Computer Science > Multimedia systems. Computer Science > Digital video. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > CLARITY: The Centre for Sensor Web Technologies. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,17531,02 Oct 2012 14:04 by  Jinlin Guo. Last Modified 31 Oct 2018 13:27,,,,,,,,
Cathal Gurrin,Recognising Irish sign language using electromyography.,"Galea, Laura Christina, Smeaton, Alan F.","17th IEEE Content Based Multimedia Indexing (CBMI) Conference, 4-6 Sept 2019, Dublin, Ireland",2019,978-1-7281-4673-7,,Conference or Workshop Item (Paper),Conference,Yes,,,EMG; sign language,Computer Science > Machine learning. Computer Science > Multimedia systems. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23553,15 Jul 2019 09:11 by  Alan Smeaton. Last Modified 17 Dec 2019 12:18,"Gurrin, Cathal and Jónsson, Björn Þór and Péteri, Renaud and Rudinac, Stevan, (eds.)2019 International Conference on Content-Based Multimedia Indexing (CBMI)..  IEEE. ISBN 978-1-7281-4673-7",IEEE,http://dx.doi.org/10.1109/CBMI.2019.8877421,© 2019 The Authors,Science Foundation Ireland  under grant number SFI/12/RC/2289,,,
Cathal Gurrin,Exploring the impact of training data bias on automatic generation of video captions.,"Smeaton, Alan F., Graham, Yvette, McGuinness, Kevin, O'Connor, Noel E., Quinn, Sean, Arazo Sanchez, Eric","25th International Conference on Multimedia Modeling (MMM2019), 8 - 11 Jan 2019, Thessaloniki, Greece",2018,978-3-030-05710-7,,Conference or Workshop Item (Paper),Conference,Yes,,,Video-to-language; Video captioning; Video understanding; Semantic similarity,Computer Science > Artificial intelligence. Computer Science > Machine learning. Computer Science > Multimedia systems. Computer Science > Digital video. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23512,01 Jul 2019 10:54 by  Sean Quinn. Last Modified 12 Aug 2020 17:21,"Kompatsiaris, Ioannis and Huet, Benoit and Mezaris, Vasileios and Gurrin, Cathal and Cheng, Wen-Huang, (eds.)MMM 2019: MultiMedia Modeling, Proceedings. Lecture Notes in Computer Science book series (LNCS)11295(1).  Springer. ISBN 978-3-030-05710-7",Springer,http://dx.doi.org/10.1007/978-3-030-05710-7_15,©2018 Springer,Science Foundation Ireland under grant numbers 12/RC/2289 and 15/SIRG/3283,,9.0,21.0
Cathal Gurrin,ShareDay: A new lifelogging brower system for group sharing.,"Zhou, Lijuan Marissa, Caprani, Niamh, Gurrin, Cathal, O'Connor, Noel E.","The 19th International Conference on Multimedia Modeling, 7-9 Jan 2013, Huangshan, China.",2013,,,Conference or Workshop Item (Paper),Conference,Yes,,,Human Computer Interaction; Multimedia Systems; Group Sharing; Lifelogging; Touchscreen Browser,Computer Science > Lifelog. Computer Science > Interactive computer systems. Engineering > Systems engineering. Computer Science > Multimedia systems. ,Research Initiatives and Centres > CLARITY: The Centre for Sensor Web Technologies,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,17534,10 Jan 2013 11:39 by  Ms Lijuan Marissa Zhou. Last Modified 19 Oct 2018 15:11,,,,,,,,
Cathal Gurrin,ShareDay:A memory enhancing lifelogging system based on group sharing.,"Zhou, Lijuan Marissa, Caprani, Niamh, Gurrin, Cathal","Summer School on Social Media Modeling and Search SSMS 2012, 10-14 Sept 2012, Santorini, Greece.",2012,,,Conference or Workshop Item (Poster),Seminar,Yes,,,lifelogging; event segmentation,Computer Science > Interactive computer systems. Computer Science > Multimedia systems. Computer Science > Algorithms. Engineering > Artificial life. ,Research Initiatives and Centres > CLARITY: The Centre for Sensor Web Technologies,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,17536,01 Oct 2012 09:57 by  Ms Lijuan Marissa Zhou. Last Modified 02 Nov 2018 15:33,,,,,,,,
Cathal Gurrin,EMIR: A novel emotion-based music retrieval system.,"Zhou, Lijuan Marissa, Lin, Hongfei, Gurrin, Cathal","The 18th International Conference on Multimedia Modeling, 4-6 Jan 2012, Klagenfurt, Austria.",2012,,,Conference or Workshop Item (Paper),Conference,Yes,,,Music Information Retrieval; Emotion Detection; Machine Learning; Human Computer Interaction,Computer Science > Information technology. Computer Science > Artificial intelligence. Medical Sciences > Psychology. Computer Science > Information retrieval. ,Research Initiatives and Centres > CLARITY: The Centre for Sensor Web Technologies,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,17532,01 Oct 2012 15:32 by  Ms Lijuan Marissa Zhou. Last Modified 02 Nov 2018 15:40,,,,,,,,
Gareth Jones,Overview of the CLEF 2018 personalised information retrieval lab (PIR-CLEF 2018).,"Pasi, Gabriella, Jones, Gareth J.F., Curtis, Keith, Marrara, Stefania, Sanvitto, Camilla, Ganguly, Debasis, Sen, Procheta","CLEF 2018 - Conference and Labs of the Evaluation Forum, 10-14 Sept 2018, Avignon, France.",2018,,,Conference or Workshop Item (Paper),Conference,Yes,,,,Computer Science > Information retrieval,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23394,04 Jun 2019 16:12 by  Thomas Murtagh. Last Modified 31 Jul 2019 08:50,CLEF 2018 - Conference and Labs of the Evaluation Forum..  CEUR-WS.,CEUR-WS,http://ceur-ws.org/Vol-2125/invited_paper_12.pdf,© 2018 The Authors,,,,
Gareth Jones,DCU linking runs at MediaEval 2014: search and hyperlinking task.,"Chen, Shu, Jones, Gareth J.F., O'Connor, Noel E.","MediaEval 2014 workshop, 16-17 Oct 2014, Barcelona, Spain.",2014,,,Conference or Workshop Item (Paper),Workshop,Yes,,,,Computer Science > Multimedia systems. Computer Science > Information retrieval. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Electronic Engineering. Research Initiatives and Centres > Centre for Next Generation Localisation (CNGL). Research Initiatives and Centres > CLARITY: The Centre for Sensor Web Technologies. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,20384,22 Jan 2015 10:42 by  Gareth Jones. Last Modified 19 Oct 2018 12:47,Proceedings of MediaEval 2014..,,,,"European Framework Programme 7, Science Foundation Ireland",,,
Gareth Jones,The search and hyperlinking task at MediaEval 2014.,"Eskevich, Maria, Aly, Robin, Racca, David, Ordelman, Roeland, Chen, Shu, Jones, Gareth J.F.","MediaEval 2014 workshop, 16-17 Oct 2014, Barcelona, Spain.",2014,,,Conference or Workshop Item (Paper),Workshop,Yes,,,,Computer Science > Multimedia systems. Computer Science > Information retrieval. ,Research Initiatives and Centres > Centre for Next Generation Localisation (CNGL). DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,20386,22 Jan 2015 10:49 by  Gareth Jones. Last Modified 10 Oct 2018 09:22,Proceedings of MediaEval 2014..,,,,"Science Foundation Ireland, European Framework Programme 7",,,
Gareth Jones,Adapting binary information retrieval evaluation metrics for segment-based retrieval tasks.,"Aly, Robin, Eskevich, Maria, Ordelman, Roeland, Jones, Gareth J.F.",Technical Report. UNSPECIFIED.,2013,,,Monograph (Technical Report),,No,,,,Computer Science > Multimedia systems. Computer Science > Information retrieval. ,Research Initiatives and Centres > Centre for Next Generation Localisation (CNGL). DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,20377,22 Jan 2015 14:08 by  Gareth Jones. Last Modified 10 Oct 2018 09:18,,,,,Science Foundation Ireland,,,
Gareth Jones,DCU linking runs at MediaEval 2013: search and hyperlinking task.,"Chen, Shu, Jones, Gareth J.F., O'Connor, Noel E.","MediaEval 2013 workshop, 18-19 Oct 2013, Barcelona, Spain.",2013,,,Conference or Workshop Item (Paper),Workshop,Yes,,,,Computer Science > Multimedia systems. Computer Science > Information retrieval. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Electronic Engineering. Research Initiatives and Centres > Centre for Next Generation Localisation (CNGL). Research Initiatives and Centres > CLARITY: The Centre for Sensor Web Technologies. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,20371,14 Jan 2015 10:21 by  Gareth Jones. Last Modified 19 Oct 2018 14:57,Proceedings of MediaEval 2013..,,,,"Science Foundation Ireland, European Framework Programme 7",,,
Gareth Jones,The search and hyperlinking task at MediaEval 2013.,"Eskevich, Maria, Aly, Robin, Ordelman, Roeland, Chen, Shu, Jones, Gareth J.F.","MediaEval 2013 workshop, 18-19 Oct 2013, Barcelona, Spain.",2013,,,Conference or Workshop Item (Paper),Workshop,Yes,,,,Computer Science > Multimedia systems. Computer Science > Information retrieval. ,Research Initiatives and Centres > Centre for Next Generation Localisation (CNGL). Research Initiatives and Centres > CLARITY: The Centre for Sensor Web Technologies. DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,20370,13 Jan 2015 14:52 by  Gareth Jones. Last Modified 10 Oct 2018 09:17,Proceedings of MediaEval 2013..,,,,"Science Foundation Ireland, European Framework Programme 7",,,
Gareth Jones,Overview of VideoCLEF 2008: Automatic generation of topic-based feeds for dual language audio-visual content.,"Larson, Martha, Newman, Eamonn, Jones, Gareth J.F.","CLEF 2008: Workshop on Cross-Language Information Retrieval and Evaluation, 17-19 Sept. 2008, Aarhus, Denmark,.",2009,,,Conference or Workshop Item (Paper),Workshop,Yes,,,Classification; Translation; Keyframe Extraction; Speech Recognition; Evaluation; Benchmark; Video,Computer Science > Information retrieval,Research Initiatives and Centres > Centre for Digital Video Processing (CDVP). DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,16187,16 Jun 2011 13:34 by  Shane Harper. Last Modified 25 Oct 2018 11:13,Evaluating Systems for Multilingual and Multimodal Information Access. Lecture Notes in Computer Science5706.  Springer-Verlag.,Springer-Verlag,http://www.springerlink.com/content/j1072rqu46852032/,"© 2009 Springer-Verlag.
The original publication is available at www.springerlink.com",,,,
Gareth Jones,Dublin's participation in the predicting media memorability task at MediaEval 2018.,"Smeaton, Alan F., Corrigan, Owen, Dockree, Paul, Gurrin, Cathal, Healy, Graham, Hu, Feiyan, McGuinness, Kevin, Mohedano, Eva, Ward, Tomás E.","MediaEval Benchmarking Initiative for Multimedia Evaluation, 29-31 Oct 2018, Nice, France.",2018,,,Conference or Workshop Item (Paper),Conference,No,,,,Computer Science > Image processing. Computer Science > Digital video. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. Research Initiatives and Centres > ADAPT. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22737,18 Oct 2018 09:27 by  Owen Corrigan. Last Modified 13 Mar 2019 13:53,"Larson, Martha and Arora, Piyush and Demarty, Claire-Hélène and Riegler, Michael and Bischke, Benjamin and Dellandrea, Emmanuel and Lux, Mathias and Porter, Alastair and Jones, Gareth J.F., (eds.)Working Notes Proceedings of the MediaEval 2018 Workshop. CEUR-WS Proceedings.  CEUR-WS.",CEUR-WS,http://ceur-ws.org/Vol-2283/MediaEval_18_paper_14.pdf,© 2018 The Authors,This work was partially supported by Science Foundation Ireland under the SFI Research Centres Programme grant number SFI/12/RC/2289.,,,
Jane Kernan,Chapter 9: The need for big data standardization.,"Walshe, Ray, Kernan, Jane","Diaz, Pablo, (ed.) Manual sobre utilidades del big data para bienes públicos. Goberna América Latina, Madrid, pp. 145-162",2017,978-84-8198-983-0,,Book Section,,No,,,,Social Sciences > Globalization. Computer Science > Information technology. ,UNSPECIFIED,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,22432,02 Jul 2018 12:24 by  Jane Kernan. Last Modified 19 Jul 2018 15:13,,Goberna América Latina,,© 2018 Goberna América Latina,,,,
Suzanne Little,ECIR 2020 workshops: assessing the impact of going online.,"Nunes, Sérgio, Little, Suzanne, Bhatia, Sumit, Boratto, Ludovico, Cabanac, Guillaume, Campos, Ricardo, Couto, Francisco M., Faralli, Stefano, Frommholz, Ingo, Jatowt, Adam, Jorge, Alipio, Marras, Mirko, Mayr, Philipp, Stilo, Giovanni",ACM SIGIR Workshops.,2020,,,Conference or Workshop Item (Paper),Workshop,No,,,,Computer Science > Information retrieval,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24662,23 Jun 2020 11:22 by  Suzanne Little. Last Modified 23 Jun 2020 11:22,,Association for Computing Machinery (ACM),,© 2020 The Authors,,,,
Suzanne Little,Object polygonization in traffic scenes using small Eigenvalue analysis.,"Y. G., Naresh, Gurram Munirathnam, Venkatesh, O'Connor, Noel E., Little, Suzanne","Irish Machine Vision and Image processing (IMVIP 2020) conference, 31 Aug - 2 Sept 2020, Sligo, Ireland (Online). (In Press)",2020,,,Conference or Workshop Item (Paper),Conference,Yes,,,Dominant Point; Shape Representation; Shape polygonization; Small Eigenvalue,Computer Science > Image processing. Computer Science > Machine learning. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Computing. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,24881,31 Aug 2020 11:50 by  Venkatesh Gurram Munirathnam. Last Modified 31 Aug 2020 11:50,,,https://imvipconference.github.io/,2020 The Authors,European Research Council (ERC) under the European Union’s Hori-zon 2020 research and innovation programme (grant agreement number 688099) projectC l oud−LSV Aandfrom Science Foundation Ireland under grant numberSF I/16/SP/3804.,,,
Suzanne Little,MediaEval 2019: concealed FGSM perturbations for privacy preservation.,"Linardos, Panagiotis, Little, Suzanne, McGuinness, Kevin","MediaEval 2019 workshop, 27-29 Oct 2019, Sophia Antipolis, France. (In Press)",2019,,,Conference or Workshop Item (Paper),Workshop,No,,,,Computer Science > Algorithms. Computer Science > Image processing. Computer Science > Machine learning. Engineering > Signal processing. ,DCU Faculties and Schools > Faculty of Engineering and Computing > School of Electronic Engineering. Research Initiatives and Centres > INSIGHT Centre for Data Analytics. ,This item is licensed under a Creative Commons Attribution-NonCommercial-Share Alike 3.0 License. View License,23779,25 Oct 2019 12:16 by  Kevin Mcguinness. Last Modified 27 Oct 2019 04:30,,,,© 2019 The Authors,Science Foundation Ireland (SFI) under grant number SFI/15/SIRG/3283 and SFI/12/RC/2289,,,
